arabic,english
،,",,"
لا,no
من,From
في,in
أن,that
هذا,this
على,on me
ما,What
أنا,I
هل,Do you
و,And the
يا,Hey
ذلك,that
لقد,lhave
لم,did not
ماذا,what
كان,It was
هنا,over here
إلى,to me
أنت,You are
هو,he is
هذه,this is
عن,About
نعم,yes
ان,that
هناك,there
كل,All
حسناً,Well
ليس,Not
كنت,I was
فقط,Just
شيء,something
الآن,right Now
مع,with
الذي,that
لكن,but
أجل,Yes
لك,for you
يجب,Should
لن,will not
كيف,How
حسنا,Good
انا,I
لي,Mine
إنه,it's a
سوف,Will
نحن,we
إذا,if
كانت,she was
عندما,When
أي,Which
قد,may be
لماذا,Why
هي,she
الأمر,Order
أنه,it's a
فى,in
حتى,until
بعد,distance
كذلك,like that
أو,or
ولكن,But
قبل,Before
التي,that
انه,it's a
إنها,that it
ـ,-
لو,if
ربما,Probably
أين,where
هيا,Come on
تلك,That
أعرف,I know
الى,to me
إن,that
يكون,is being
بعض,some
أريد,I Wanna
أعتقد,I believe
انت,you
عليك,upon you
مثل,Such as
صحيح,Right
به,with it
أنك,You are
الوقت,the time
بخير,Fine
أعلم,Know
أحد,One
شخص,person
جداً,very
رجل,man
شكراً,Thanks
لذا,So
يمكن,Can
كما,as such
كلا,both
أكثر,more
يبدو,It seems
جيد,Good
تكون,Formation
علي,On
اليوم,today
يمكنك,you may
انها,that it
أليس,Alice
مرحباً,Welcome
لدي,I have
عليه,on him
آخر,else
لست,Prejudice
منذ,Ago
غير,not
أيها,O you
لديك,You have
حقاً,Oh really
أنتِ,you
تريد,You want
أستطيع,I can
الرجل,the man
تعرف,to get to know
له,for him
مرة,Once
لدينا,we've got
أنها,that it
يمكنني,I can
بأن,That
واحد,One
أنني,I am
أوه,Oh
سيكون,Will be
الناس,People
ليست,Not
حدث,Event
بها,In
أيضاً,also
أفضل,better
الكثير,Lots
علينا,We
سيدي,my lord
مكان,place
تفعل,are doing
وقت,time
يكن,Be
ط,I
شئ,a thing
بهذا,by this
وأنا,Me
اذا,if
جدا,very
بي,with me
أخرى,Others
آسف,Sorry
بك,Infection
رائع,Fabulous
بذلك,Thus
كم,how much
إذاً,if
ثم,then
شيئاً,Something
يوجد,exist
واحدة,one
ولا,Nor
قلت,I said
يحدث,is happening
بالطبع,naturally
شكرا,Thanks
مرحبا,Welcome
يوم,day
أبي,My Father
معك,With you
لها,to her
معي,with me
سيد,Mr
تعلم,Learn
إذن,So
العمل,the work
تم,It was completed
المكان,the place
الليلة,Tonight
إلهي,divine
لهذا,For this
فعل,an act
هكذا,thus
أمي,Mom
لذلك,So
ألا,Except
لـ,For
الان,right Now
حول,Around
بما,In
حقا,truly
الحقيقة,the truth
الجميع,everybody
يمكننا,We can
بالتأكيد,surely
لأن,because
لديه,he have
لنا,Our
خلال,During
ظ,P
بشكل,In a way
العالم,the scientist
فحسب,Just only
حال,State
الذهاب,going
عليها,on her
بـ,In
أعني,I mean
فعلت,she did
قال,He said
هم,they
المنزل,the home
عنه,about him
ها,Ha
بشأن,about
أفعل,I do
أكون,I be
اللعنة,the curse
للغاية,Extremely
فيه,in it
بين,between
أننا,We are
منك,From you
وهذا,and this is
لكِ,for you
جيدة,Good
يعني,You know?
مجرد,Just
أظن,I suspect
انك,You are
مني,Mona
أنّ,that
بالنسبة,about
الأمور,Matters
فكرة,idea
أم,Mother
متى,when
الشيء,Thing
المال,Money
كنا,We were
أقول,I say
عمل,a job
أبداً,Start
ستكون,it will be
عليّ,On
أيّ,Which
أمر,Command
تقول,Says
توقف,Stop
هؤلاء,these
السيد,the master
انظر,Look
لما,when
منه,from him
الطريق,The Road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With
بحاجة,Need
بسبب,because of
الذين,Whose
تستطيع,Could you
بأس,Wicked
اي,Which
بدون,without
لكم,to you
تبدو,Appear
أرى,Show
الجحيم,Hell
تكن,Being
اعتقد,Think
عند,when
آسفة,sorry
حيث,Where
دائماً,Always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come
بالفعل,Already
بل,but
فضلك,Please
الأشياء,The things
ليلة,a night
نفسك,yourself
لكي,in order to
تعتقد,U think
وهو,and he
بحق,Right
مشكلة,problem
شيئا,Something
أرجوك,I beg you
أذهب,Go
يريد,Wants
تماماً,completely
الـ,The
الوحيد,the only
قتل,killing
إنهم,that they
الشخص,the person
رأيت,I have seen
عزيزتي,Darling
طوال,throughout
بهذه,With this
الشرطة,the police
الأن,Now
أحب,Loved
الذى,that
أيضا,Moreover
بنا,coffee beans
أردت,I wanted
أكن,Be
كلّ,All
النار,fire
سمعت,I heard
اجل,Yes
جميع,all
أَنْ,that
قليلاً,Little
مالذي,Cosmopolitical
بأنه,As
والآن,And now
إلي,to me
انتظر,wait
فتاة,girl
كبير,big
يعرف,Known
او,or
فيها,In which
حسنٌ,Hassan
الرجال,Men
اريد,I want
لأنه,Because he
السبب,the reason
سنوات,Years
الباب,The Door
نذهب,We go
دون,Without
حياتي,my life
لابد,It must
السيارة,The Car
تريدين,You want
خارج,Outside
ومن,And from
ثلاثة,three
فعله,To do
تذهب,Go
كانوا,they were
اذهب,Go
الحصول,Get
يقول,Says
الواقع,Indeed
كثيراً,Much
اعرف,I know
أنهم,that they
سبب,reason
كبيرة,big
مما,Than
أحتاج,I need
قمت,I did
إنّه,it's a
منها,Of which
كنتُ,I was
للتو,just yet
استطيع,I can
نوع,Type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,You are
لأنني,because I
الأفضل,Better
دائما,Always
جديد,new
الامر,Matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,The private
تعلمين,Learn
جميل,Nice
بسرعة,quickly
الأرض,Earth
لحظة,Moment
الطريقة,Method
طريقة,method
رائعة,amazing
سعيد,Happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,mechanism
التحدث,Talk
ثانية,second
دعني,Leave me
لكنني,But I am
الفتاة,the girl
لمَ,did not
ولم,And not
أنتم,you all
عظيم,great
انهم,that they
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,Myself
إليك,To you
قام,Stand up
لديها,she has
عام,general
اعلم,Know
يعمل,Works
سأكون,I'll be
عيد,Feast
رفاق,comrades
ألم,pain
لهم,for them
تعمل,Working
تتحدث,Spoke
القيام,The performance
الله,Allah
ساعة,hour
المرة,Bitter
هيّا,Come on
ترى,See
مهلاً,Hey
جاك,Jack
أنتَ,you
الخير,The good
متأكد,sure
جميعاً,All
أحاول,I'm trying
شيئ,something
الموت,the death
رقم,number
منهم,who are they
سيارة,car
مجدداً,again
ايها,O you
عنك,About you